"Not if it were my own brother!" cried d’Artagnan, as if carried away by his enthusiasm.	«Non, fût-ce mon frère!» s'écria d'Artagnan comme emporté par l'enthousiasme.
"Mr. Conseil put one over on me!"	Monsieur Conseil qui me fait poser !
What sister would think herself at liberty to do it, unless there were something very objectionable? If they believed him attached to me, they would not try to part us; if he were so, they could not succeed.	Cependant si elles croyaient qu’il m’aime, elles ne chercheraient pas a nous séparer, et, s’il m’aimait, elles ne pourraient y réussir.
"It is impossible a gentleman could have written such a letter to a woman."	«Mon Dieu! dit-elle, saurait-il...» Et elle s'arrêta.
The mere fact that solid men should patronize it was enough in itself to prevent the villainy which afterwards crept in.	Ce simple fait, que des personnages considérables se déclaraient pour elle, suffisait à lui seul pour écarter la canaillerie qui s'y glissa par la suite.
Cécile did not displease him, and he was quite willing to marry her to be agreeable to his aunt, but he showed no amorous fever; like a youth of experience, who, he said, was not easily carried away now.	Cécile ne lui déplaisait pas, et il voulait bien l'épouser, pour etre agréable a sa tante; mais il n'y apportait aucune fievre amoureuse, en garçon d'expérience qui ne s'emballait plus, comme il disait.
I can see him as he was in those days with great, floundering, half-formed limbs like a Newfoundland puppy, and a face that set every woman's head round as he passed her.	Je me le rappelle encore, tel qu'il était en ce temps-là, avec ses grands membres dégingandés, aux mouvements maladroits comme ceux d'un petit terre-neuve, et une figure qui faisait tourner la tête à toutes les femmes qui passaient.
"You have understood me, then, dear Monsieur d’Artagnan," said Milady.	-- Vous m'avez donc comprise, cher monsieur d'Artagnan! dit Milady.
This sort of wound that lived upon him, which became active, flushed, and biting at the slightest trouble, frightened and tortured him.	Cette sorte de blessure vivant sur lui, se réveillant, rougissant et le mordant au moindre trouble, l'effrayait et le torturait.
I am impatient to succeed."	Il me tarde de réussir. »
"How yes and no?"	-- Comment, oui et non?
I am without any defence, or But I am cast on an island where means to resist any violence of I see no wild beasts to hurt me, man or beast. as I saw on the coast of Africa; and what if I had been shipwrecked there?	LE BIEN. Mais j'ai échoué sur une île où je ne vois nulle bête féroce qui puisse me nuire, comme j'en ai vu sur la côte d'Afrique; et que serais-je si j'y avais naufragé?
